BEN (T4.7);;;? Stocktaking Survey Data ?;;;;;;;;;;;
nr in Portal;Short name;Organizations (Legal Name);Has response ?;Provide wallets for UCs?;Kind of wallet;Deployment model;Wallet links;Offline channels;Standards supported;Encoding formats;Selective disclosure;Other input (wallet);Other input (participation);Previous LSP experience
97;BA - IDDEEA;Agency for Identification Documents Register and Data Exchange BiH, IDDEEA;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;";;"n/a;";" ISO/IEC 18013-5:2021 ;";"JSON;";"JWT (including SD-JWT) ;";;;
115;E-GROUP HU;E-Group ICT Software Zrt;FALSE;;;;;;;;;;;
124;IDOMSOFT;Idomsoft Ltd.;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;";"https://idomsoft.hu; https://dap.gov.hu/; https://app.dap.gov.hu/";"QR Code;";" W3C Verifiable Credentials 1.1;";"JSON;";"JWT (including SD-JWT) ;";age verification, student discounts, aligibility, PID based SSO, national insurance number, driving licence, vehicle registration data, taxID;participating in tests, knowledge&experience sharing ;EWC
122;GOOGLE;Google;TRUE;Yes;"Wallets that can be used by natural persons ;";"Mobile wallet ;";https://wallet.google/;"NFC;BLE;QR Code;";" ISO/IEC 18013-5:2021 ;";"JSON;CBOR;";"JWT (including SD-JWT) ;";Our team has expertise in Digital Credentials API, happy to support other wallets ;Given our engineering and product management team is based on the West Coast, US, we would prefer PST friendly times for recurring meetings but will adopt to the rest of the group.;Yes, EWC. We contributed to the payments working group with our engineering expertise and platform APIs, evolving the current standards. We also contributed to security topics, providing pull requests to the RFCs, and testing Google Wallet against the testbed. 
141;ORANGE BUSINESS;Orange Business;TRUE;Yes;"Wallets that can be used by legal persons ;";"Server wallet on cloud ;";https://www.orange-business.com/fr/solutions/securite/live-identity;"QR Code;";" W3C Verifiable Credentials 1.1;";"JSON;";"JWT (including SD-JWT) ;";We can provide tools for third parties ecosystem management, useful for data spaces with support of OpenID Federation and TRAIN trust frameworks;No, except participation to technical and functional activities;No
148;Rockwood;Rockwood Digital Europe b.v.;FALSE;;;;;;;;;;;
159;Youverse;YooniK S.A. (wisdom guardian);FALSE;;;;;;;;;;;
160;Yubico;Yubico AB;TRUE;;;;https://github.com/wwWallet;;;;;Note: Yubico is member of the wwWallet consortium, together with Sunet, GUnet, and Siros - see the GUnet entry for wwWallet;;

75;Spherity;Spherity GmbH;TRUE;Yes;"Wallets that can be used by legal persons ;";"Server wallet on cloud ;Server wallet that can be installed on premise ;";"https://www.spherity.com/eida
https://oid.spherity.com/architecture";"No proximity communication is supported by the cloud wallet;";" W3C Verifiable Credentials 1.1;";"JSON;";"JSON-LD;";Spherity's Business Wallet supports the management of identities for legal person and organisation members like legal representatives and entities who have received power of attorney.;EUBW-specific requirement analysis within the use cases and alignment in the wallet group;EWC participant, in particular legal person wallet usage in a banking use case (account opening)
170;Danube Tech;Danube Tech GmbH;TRUE;Yes;"Wallets that can be used by legal persons ;";"Server wallet on cloud ;Server wallet that can be installed on premise ;";https://danubetech.com/tech/danube-business-wallet;"QR Code;";" W3C Verifiable Credentials 1.1;";"JSON;";"JSON-LD;JWT (including SD-JWT) ;";;;Participated in EWC as an observer, also participated in EBSI-VECTOR and EBSI-TRACE4EU, leading several tasks.
34;Gataca;Gataca Labs SLU;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;Server wallet on cloud ;Server wallet that can be installed on premise ;";"https://gataca.io/products/wallet/
https://play.google.com/store/apps/details?id=com.gataca.identity&hl=es
https://apps.apple.com/es/app/gataca/id1498607616";"NFC;QR Code;";" W3C Verifiable Credentials 1.1;";"JSON;";"JWT (including SD-JWT) ;JSON-LD;";Gataca Wallet is a mature solution currently deployed in production, with around 100,000 active instances and proven ability to sustain high-throughput scenarios of up to 2 million transactions per day. It is developed in React Native with TypeScript, and designed to be interoperable with European standards such as eIDAS 2.0, W3C Verifiable Credentials, OIDC/SIOPv2, and SD-JWT-VC. The wallet natively supports multilingual interfaces (English, Spanish, Portuguese, French, German, Italian, Finnish, and Swedish), secure key management at the OS level, and full compliance with ISO 27001 practices. We have successfully delivered more than four national-scale pilots with governments, proving our ability to operate in highly demanding and regulated environments. In addition, Gataca is deeply involved in EBSI (European Blockchain Services Infrastructure), actively contributing to its evolution and aligning our technology with its trust and interoperability frameworks. In terms of use cases, Gataca Wallet is already supporting diverse deployments, including identity verification, age verification, academic credentials, and enterprise onboarding, with both mobile app distribution for end-users and SaaS/on-premise enterprise wallet deployments. We are committed to ensuring privacy by design, including features such as unique pseudonym generation per relying party, and maintaining full user control of credentials.;Gataca is committed to supporting the Wallets Group in every way possible, leveraging our extensive experience in both technology and real-world use cases. We are fully available to contribute actively to discussions, technical input, and the implementation of pilot activities. However, due to the limited number of person-months (PMs) allocated to our participation, we are not in a position to assume formal leadership roles within the group.;Yes. Gataca has previous experience from LSPs. We participated as observers in the DC4EU project and took an active role in EBSI-VECTOR, where we led Work Package 4 (WP4).
90;walt.id;walt.id GmbH;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Server wallet on cloud ;Server wallet that can be installed on premise ;We provide an open source Progressive Web App that can be white labeled. Alternatively, mobile apps can be built with our mobile wallet SDKs;Mobile wallet ;";"1. Open Source Stack (Apache 2): https://docs.walt.id/community-stack/wallet
2. Enterprise Stack: https://docs.walt.id/enterprise-stack/services/wallet-service/overview";"BLE;QR Code;NFC;NFC and BLE are roadmap items;";" ISO/IEC 18013-5:2021 ; W3C Verifiable Credentials 1.1;";"JSON;CBOR;";"JWT (including SD-JWT) ;";We have been building open source SSI infrastructure for the last 5 years. We are currently the largest pure open source provider for technology, and also have supported a number of enterprise customers to go to production. Our stack is widely used and tested, and our commitment to the eIDAS2 and EUDI activities have spanned from our CEO co-developing the identity and wallet standards and regulations, to being involved in the major LSPs, to being able to offer compliant technology.;We are available as needed, our main focus with the WE BUILD WPs aligns with our company's principles of providing tooling and infrastructure for digital credential use cases. We generally do not build or get involved in the business logic or consumer facing applications. Similarly for WeBuild we are not actively seeking to manage the group or lead any activities, simply provide the technology needed to power the use cases.;"POTENTIAL (eIDAS2 interop event)

Beneficiary for: DC4EU, VECTOR, OnePass

EWC (open source stack used, but we were not directly invovled)"
42;IN GROUPE;INCS IN CONTINU ET SERVICES;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Server wallet on cloud ;";Documentation not yet available.;"QR Code;";" W3C Verifiable Credentials 1.1;";"JSON;";"JWT (including SD-JWT) ;";We are already performing tests of a professional wallet tailored for transport op�rations. Identification of drivers as well as carrier employer.;;"IN Groupe actively participated in the Propulse consortium as testing validator role
IN groupe is involved in Potential/Aptitude SLP program as lead of travel document use cases."
161;Credenco;Credenco B.V.;TRUE;Yes;"Wallets that can be used by legal persons ;";"Server wallet that can be installed on premise ;Server wallet on cloud ;";https://docs.acc.credenco.com/;"QR Code;";" W3C Verifiable Credentials 1.1; ISO/IEC 18013-5:2021 ;";"JSON;CBOR;";"JWT (including SD-JWT) ;JSON-LD;";Our Business Wallet supports fully-configurable issueing and verifying templates, public profiles based on LinkedVerifiablePresentations, EBSI support, eInvoicing support, user and role management. We are happy to give a demo.;We are available for meetings, reviews and documentation support.;No, we have participated in Small Scale Pilots in the Netherlands and have performed interop testing with other providers in Europe and Asia.
58;MIN.DIG.TRANSF.;MINISTRSTVO ZA DIGITALNO PREOBRAZBO SLOVENIA;FALSE;;;;;;;;;;;
